Summary,Rating,cluster
Elden Ring fantasy action open world game RPG elements stats weapons spells Rise Tarnished guided grace brandish power Elden Ring become Elden Lord Lands Between,4.5,1
A roguelite hack slash dungeon crawler Zagreus son Hades Greek god dead attempts escape home oppressive father fighting souls dead various layers evershifting underworld getting know forging relationships inhabitants,4.3,1
The Legend Zelda Breath Wild first 3D openworld game Zelda series Link travel anywhere equipped weapons armor found throughout world grant various bonuses Unlike many games series Breath Wild impose specific order quests dungeons must completed While game still environmental obstacles weather effects inhospitable lands powerful enemies many overcome using right method A lot critics ranked Breath Wild one best video games time,4.4,6
A small child falls Underground monsters long banished humans hunting every human find The player controls child try make back Surface hostile environments engaging turnbased combat system puzzlesolving bullet hell elements well unconventional game mechanics,4.2,8
A 2D metroidvania emphasis close combat exploration player enters onceprosperous nowbleak insect kingdom Hallownest travels various districts meets friendly inhabitants fights hostile ones uncovers kingdoms history improving combat abilities movement arsenal fighting bosses accessing outoftheway areas,4.4,8
Minecraft focuses allowing player explore interact modify dynamicallygenerated map made onecubicmetersized blocks In addition blocks environment features plants mobs items Some activities game include mining ore fighting hostile mobs crafting new blocks tools gathering various resources found game The games openended model allows players create structures creations artwork various multiplayer servers singleplayer maps Other features include redstone circuits logic computations remote actions minecarts tracks mysterious underworld called Nether A designated completely optional goal game travel dimension called End defeat ender dragon,4.3,2
A turnbased surreal horror RPG child traverses various mundane quirky humourous mysterious horrific lands friends search missing person confronting past fears Explore strange world full colorful friends foes When time comes path youve chosen determine fate perhaps fate others well,4.2,4
Join intergalactic bounty hunter Samus Aran first new 2D Metroid story 19 years Samus story continues events Metroid Fusion game descends upon planet ZDR investigate mysterious transmission sent Galactic Federation The remote planet become overrun vicious alien lifeforms chilling mechanical menaces Samus agile capable ever overcome inhuman threat stalking depths ZDR,4.3,4
Join crewmates multiplayer game teamwork betrayal Play 415 players online via local WiFi attempt prepare spaceship departure beware one random players among Crew Impostors bent killing everyone,3.0,2
NieR Automata tells story androids 2B 9S A2 battle reclaim machinedriven dystopia overrun powerful machines,4.3,4
An enhanced version Persona 5 new characters third semester added game Released Internationally 22,4.4,5
Lost alone separated family stray cat must untangle ancient mystery escape longforgotten cybercity find way home,3.7,1
God War sequel God War III well continuation canon God War chronology Unlike previous installments game focuses Norse mythology follows older seasoned Kratos son Atreus years since third game It harsh unforgiving world must fight survive teach son,4.2,1
Sequel acclaimed Portal 27 Portal 2 pits protagonist original game Chell new robot friend Wheatley puzzles conceived GLaDOS AI sole purpose testing Portal Guns mechanics taking revenge Chell events Portal As result several interactions revelations Chell pushes escape Aperture Science Labs,4.4,1
An action RPG player embodies Hunter transfused mysterious blood local city Yharnam sets night Hunt extended night Hunters may phase dream reality order thin outbreak abominable beasts plague land resilient insightful Hunters uncover answers Hunts many mysteries,4.5,0
Help Madeline survive inner demons journey top Celeste Mountain supertight platformer creators TowerFall Brave hundreds handcrafted challenges uncover devious secrets piece together mystery mountain,4.2,8
The glitz glamour unbridled decadence 8s back Yakuza prequel set 1988 Yakuza series taking place first game Fight like hell Tokyo Osaka protagonist Kazuma Kiryu series regular Goro Majima Play Kazuma Kiryu discover finds world trouble simple debt collection goes wrong mark winds murdered Then step silvertoed shoes Goro Majima explore normal life proprietor cabaret club,4.4,1
Red Dead Redemption 2 epic tale outlaw Arthur Morgan infamous Van der Linde gang run across America dawn modern age,4.4,0
Waking seemingly empty laboratory player made complete various physicsbased puzzle challenges numerous test chambers order test new Aperture Science Handheld Portal Device without explanation,4.1,1
Explore incredible places far Mushroom Kingdom join Mario new ally Cappy massive globetrotting 3D adventure Use amazing new abilities like power capture control objects animals enemies collect Power Moons power Odyssey airship save Princess Peach Bowsers wedding plans,4.2,3
The Pokmon Legends Arceus game honors past Pokmon games core gameplay infusing new action RPG elements Youll need catch survey research wild Pokmon longgone era Sinnoh region create complete regions first Pokdex,3.7,7
As wannabe rockstar Chai youll fight back sinister robotics enhancement conglomerate using rhythmamplified combat everything motion environment blows combat synced music,4.3,8
Developed Kojima Productions PlatinumGames Metal Gear Rising Revengeance takes renowned Metal Gear franchise exciting new territory allnew action experience The game seamlessly melds pure action epic storytelling surrounds Raiden child soldier transformed halfhuman halfcyborg ninja uses High Frequency katana blade cut thing stands vengeful path A huge success Xbox 36 PlayStation3 Metal Gear Rising Revengeance comes PC famed moves action running within beautifullyrealized HD environment This new PC version includes three DLC missions Blade Wolf Jetstream VR Missions addition customized body upgrades Raiden including White Armor Inferno Armor Commando Armor Raidens MGS4 body everpopular Cyborg Ninja CUTSCENES option added Main Menu Play cutscenes CODECS option added Main Menu Play codec conversation scenes Menu option added CHAPTER Menu enabling user play Boss battles GRAPHIC OPTIONS added OPTIONS Menu Modify resolution antialiasing etc There option reading ZANGEKI modify amount cuts make,4.1,9
Grand Theft Auto V vast open world game set Los Santos sprawling sunsoaked metropolis struggling stay afloat era economic uncertainty cheap reality TV The game blends storytelling gameplay new ways players repeatedly jump lives games three lead characters playing sides games interwoven story,3.8,1
Cyberpunk 277 openworld actionadventure story set Night City megalopolis obsessed power glamour body modification You play V mercenary outlaw going oneofakind implant key immortality You customize characters cyberware skillset playstyle explore vast city choices make shape story world around,3.3,1
God War Ragnark ninth installment God War series sequel 218s God War Continuing Norse mythology theme game set ancient Norway feature series protagonists Kratos former Greek God War young son Atreus The game expected kick events Ragnark Kratos Atreus must journey Nine Realms search answers prepare prophesied battle end world,4.4,1
A vast world awaits Xenoblade Chronicles 3 next game acclaimed RPG series developer Monolithsoft Players step roles protagonists Noah Mio amid turmoil hostile nations Keves Agnus Six characters hailing nations take part grand tale life central theme Explore new world connect futures Xenoblade Chronicles Xenoblade Chronicles 2,4.4,8
Join Kirby unforgettable journey mysterious world delightful 3D platforming adventure Take control powerful pink puffball Kirby move around freely 3D stages discover mysterious world abandoned structures past civilization like shopping mall Copy enemies abilities like Sword Ice use attack explore surroundings What journey awaits Kirby Take deep breath get ready unforgettable adventure,4.2,8
Disco Elysium The Final Cut groundbreaking role playing game Youre detective unique skill system disposal whole city carve path across Interrogate unforgettable characters crack murders take bribes Become hero absolute disaster human The Final Cut adds full voice acting game well new quests characters fresh explorable areas,4.6,1
Starring worlds iconic Super Hero SpiderMan features acrobatic abilities improvisation webslinging wallcrawler famous also introducing elements neverbeforeseen SpiderMan game From traversing parkour utilizing environment new combat blockbuster set pieces SpiderMan unlike youve played,4.1,0
Dark Souls continues push boundaries latest ambitious chapter criticallyacclaimed genredefining series Prepare embrace darkness,4.2,1
NieR Replicant ver122474487139 updated version NieR Replicant previously released Japan Discover oneofakind prequel criticallyacclaimed masterpiece NieR Automata Now modern upgrade experience masterfully revived visuals fascinating storyline,4.2,1
The first three dimensional entry Mario franchise Super Mario 64 follows Mario puts broadened 3D movement arsenal use order rescue Princess Peach clutches arch rival Bowser Mario jump worldswithinpaintings ornamenting walls Peachs castle uncover secrets hidden challenges collect golden stars reward platforming trials,4.1,3
Legendary game worlds fighters collide ultimate showdowna new entry Super Smash Bros series Nintendo Switch system New fighters like Inkling Splatoon series Ridley Metroid series make Super Smash Bros series debut alongside every Super Smash Bros fighter seriesEVER Faster combat new items new attacks new defensive options keep battle raging whether youre home go,4.1,3
Cuphead classic run gun action game heavily focused boss battles Inspired cartoons 193s visuals audio painstakingly created techniques era ie traditional cel animation hand drawn hand inked watercolor backgrounds original jazz recordings Play Cuphead Mugman single player coop traverse strange worlds acquire new weapons learn powerful super moves discover hidden secrets Cuphead action time,4.1,1
Enter dark brutal new gameplay experience creators Bloodborne Dark Souls series Sekiro Shadows Die Twice intense thirdperson actionadventure set bloody backdrop 14thcentury Japan Step role disgraced warrior brought back brink death whose mission rescue master exact revenge arch nemesis Take Revenge Restore Your Honor Kill Ingeniously,4.4,1
Final Fantasy VII seventh main installment Final Fantasy series first title feature threedimensional graphics prerendered backgrounds numerous full motion videos The gameplay departure previous entries series many ways Though retains Active Time Battle pseudoturn based menu command system FFVII features three party members rather four The Materia system allows player customize party members abilities liking Limit system grants unique combat skills Though minigames recurring feature FFVII introduces numerous new ones many playable theme park Gold Saucer varying racing Chocobos snowboarding,4.2,8
An enhanced rerelease Shin Megami Tensei Persona 4 28 featuring qualityoflife improvements gameplay enhancements new locations balance tweaks online functionality new difficulty options additional side character storyline changed endgame,4.2,5
Genshin Impact openworld action RPG embark journey across Teyvat find lost sibling seek answers The Seven gods element Explore wondrous world join forces diverse range characters unravel countless mysteries Teyvat holds,2.6,1
Signalis classic survival horror experience unique aesthetic full melancholic mystery Investigate dark secret solve puzzles fight nightmarish creatures navigate dystopian surreal retrotech worlds Elster technician Replika searching lost dreams,4.2,2
Resident Evil Village first person survival horror sequel Resident Evil 7 Biohazard The game maintains elements previous Resident Evil games players scavenge environments items manage resources However adds actionoriented gameplay higher enemy counts greater emphasis combat,3.9,5
A 3D platformer first Wii entry Super Mario franchise Super Mario Galaxy sees Mario jump across planets galaxies varying items enemies geographies gravity mechanics order reach enemy Bowser attacked Mushroom Kingdom hijacked Princess Peachs castle inside,4.3,3
In firstperson Western RPG player takes role Courier 6 barely surviving robbed cargo shot put shallow grave New Vegas mob boss The Courier sets track robbers retrieve cargo winds getting tangled complex ideological socioeconomic web many factions settlements postnuclear Nevada,4.3,6
Outer Wilds criticallyacclaimed awardwinning open world mystery solar system trapped endless time loop The newest member space program small village planet Timber Hearth player navigates space shuttle travels across solar system get bottom mysteries exploring cosmos gathering knowledge hidden within systems planets left behind another civilization distant past,4.6,4
Resident Evil 2 remake 1998s Resident Evil 2 The game developed intent improving original rather reimagining original story redesigned maps characters story elements Gameplay mechanics similar Resident Evil 7 Biohazard though use overtheshoulder camera,4.3,5
Developed id software studio pioneered firstperson shooter genre created multiplayer Deathmatch Doom returns brutally fun challenging modernday shooter experience Relentless demons impossibly destructive guns fast fluid movement provide foundation intense firstperson combat whether youre obliterating demon hordes depths Hell singleplayer campaign competing friends numerous multiplayer modes Expand gameplay experience using Doom SnapMap game editor easily create play share content world,4.0,1
Shin Megami Tensei V fifth numbered game Shin Megami Tensei series roleplaying video game set modernday Tokyo It feature returning gameplay elements previous games ability fuse demons along new mechanics,3.8,5
A member ancient witch clan possessing powers beyond comprehension mere mortals Bayonetta facesoff countless angelic enemies many reaching epic proportions game 1 pure unadulterated allout action Outlandish finishing moves performed balletic grace Bayonetta flows one fight another With magnificent overthetop action taking place stages veritable theme park exciting attractions Bayonetta pushes limits action genre bringing life fastpaced dynamic climax combat,3.9,1
Stardew Valley openended countrylife RPG Youve inherited grandfathers old farm plot Stardew Valley Armed handmedown tools coins set begin new life Can learn live land turn overgrown fields thriving home It wont easy Ever since Joja Corporation came town old ways life disappeared The community center towns vibrant hub activity lies shambles But valley seems full opportunity With little dedication might one restore Stardew Valley greatness,4.1,1
The Last Us Part II actionadventure game set five years events The Last Us The player traverses postapocalyptic environments buildings forests advance story He use firearms improvised weapons stealth defend hostile humans cannibalistic creatures infected mutated strain Cordyceps fungus The game intermittently switches control Ellie Abby also briefly Joel opening sequence The nimble nature player character introduces platforming elements allowing player jump climb traverse environments gain advantages combat,4.1,2
The second entry Silent Hill franchise Silent Hill 2 narrativefocused thirdperson psychological horror game exploration puzzlesolving elements follows James Sunderland man receives letter seemingly sent threeyearsdeceased wife Mary beckoned fogridden town Silent Hill time numerous people troubled past,4.5,2
RPG sequel The Witcher 2 211 The Witcher 3 follows witcher Geralt Rivia seeks former lover young subject intermingling political workings wartorn Northern Kingdoms Geralt fight monsters deal people sorts order solve complex problems settle contentious disputes ranging personal worldchanging,4.3,8
Persona 5 turnbased JRPG visual novel elements follows high school student criminal record crime didnt commit Soon meets several characters share similar fates discovers metaphysical realm allows friends channel pentup frustrations becoming group vigilantes reveling aesthetics rebellion fighting corruption,4.1,1
Hells armies invaded Earth Become Slayer epic singleplayer campaign conquer demons across dimensions stop final destruction humanity The thing fear,4.2,0
Skyrim reimagines revolutionizes openworld fantasy epic bringing life complete virtual world open explore way choose Play type character imagine whatever want legendary freedom choice storytelling adventure The Elder Scrolls realized like never,3.7,8
Neon White lightning fast firstperson action game exterminating demons Heaven You White assassin handpicked Hell compete demon slayers chance live permanently Heaven The assassins seem familiar though know past life,4.1,1
Devil May Cry 5 brandnew entry legendary overthetop action series Devil May Cry The game features three playable characters radically different stylish combat play style take city overrun demons Developed Capcoms inhouse proprietary RE engine series continues achieve new heights fidelity graphics utilize photorealistic character designs stunning lighting environmental effects,4.3,5
Reunite stand together new age heroes Overwatch 2 builds awardwinning foundation epic competitive play challenges worlds heroes team power take overwhelming outbreak threats around globe,2.7,0
Resident Evil 4 sixth installment Resident Evil series praised revolution core games It first title implement thirdperson view rather original fixed camera angles predecessors Its mechanics completely revamped incorporate fastpaced gunplay quick controls shootouts involving massive crowds enemies open areas The brandnew AI system open environments allow enemies work together capture corner Leon Enemies humans allows climb ladders open doors use weapons throughout game Resident Evil 4 one tormented developments game four proposed versions game discarded developers finished product released,4.3,5
A spectacular reimagining one visionary games ever Final Fantasy VII Remake rebuilds expands legendary RPG today The first game project set eclectic city Midgar presents fully standalone gaming experience,4.1,8
Worlds collide Sonic Hedgehogs newest adventure An experience like never accelerate new heights experience thrill high velocity openzone freedom Battle powerful enemies speed Starfall Islands landscapes brimming dense forests overflowing waterfalls sizzling deserts,3.6,4
Inscryption inky black cardbased odyssey blends deckbuilding roguelike escaperoom style puzzles psychological horror bloodlaced smoothie Darker still secrets inscrybed upon cards,4.1,1
Tunic action adventure tiny fox big world Explore wilderness discover spooky ruins fight terrible creatures long ago,3.9,8
An action RPG spiritual sequel Demons Souls player embodies Chosen Undead tasked fulfilling ancient prophecy ringing Bells Awakening dark fantasy setting Lordran open world intricate areas full beasts former humans gone hollow magical abominations player must overcome challenging unforgiving combat,4.3,8
The Legend Zelda Ocarina Time fifth main installment The Legend Zelda series first released Nintendo 64 It one highly anticipated games age listed among greatest video games ever created numerous websites magazines The gameplay Ocarina Time revolutionary time arguably made impact later games series predecessors even though cores exploration dungeons puzzles item usage Among gameplay mechanics one noteworthy timetraveling system The game begins player controlling child Link later adult Link becomes playable character well certain unique abilities Ocarina Time also introduces use music solve puzzles new songs learned used solve puzzles gain access new areas warp different locations Dungeon exploration somewhat puzzleoriented earlier games complex,4.3,6
Deltarune Chapter 2 next installment sequel beloved indie darling Undertalein different world This time around two classmates join protagonists adventure discover mysterious world hidden behind door called Cyber World Players save data able start right Chapter 2 As long generally remember happened storywise youll fine developers said FAQ,4.3,4
In turnbased Japanese RPG young Crono must travel time misfunctioning teleporter rescue misfortunate companion take part intricate web past present perils The adventure ensues soon unveils evil force set destroy world triggering Cronos race time change course history bring brighter future,4.5,4
Metal Gear Solid 2 Sons Liberty sequel espionage action game Metal Gear Solid Much gameplay remains games protagonist sneak past guards outsmart using various gadgets defeat tricky boss enemies The game expanded predecessors cover mechanic Solid Snake Raiden able take cover behind walls objects pop shoot enemies improved enemy AI allowed enemies also take cover player Metal Gear Solid 2 considered one greatest video games time well leading example artistic expression video games,4.4,9
A 2D platformer first entry SNES Super Mario franchise Super Mario World follows Mario attempts defeat Bowsers underlings rescue Princess Peach clutches The game features save system less linear world map expanded movement arsenal numerous new items Mario alongside new approaches level design art direction,4.2,3
From legendary game creator Hideo Kojima comes allnew genredefying open world action adventure starring Norman Reedus Mads Mikkelsen La Seydoux Lindsay Wagner In near future mysterious explosions rocked globe setting series supernatural events known Death Stranding With otherworldly creatures plaguing landscape mass extinction imminent Sam Porter Bridges travel across ravaged wasteland save humanity impending annihilation,3.9,4
The latest adventure SpiderMan universe build expand Marvels SpiderMan allnew story Players experience rise Miles Morales masters new powers become SpiderMan,3.9,0
Dark Souls Remastered remastered version original game Dark Souls The updated version game features graphical enhancements well expanded online mode,4.3,5
A turnbased JRPG sequel thenJapanonly Earthbound Beginnings 1989 Ness young boy living land based USA leaves home go adventure strange locations get know quirky characters defeat unknowable alien threat called Giygas facing realities growing becoming familiar real world,4.2,0
A seminal 2D metroidvania events Castlevania Rondo Blood 1993 man named Alucard arrives Draculas castle rises rubble seeks defeat evil contained within exploring fighting inhabitants collecting various weapons abilities hidden depths,4.4,1
The Space Pirates merciless agents evil Mother Brain stolen last Metroid research station Mother Brain threatens safety galaxy Samus Aran must awesome array hightech weaponry retrieve deadly Metroid hidden deep within caveriddled planet Zebes Super Metroid features excellent graphics huge variety enemies worlds explore The sideview action familiar many players new weapons items including Grappling Beam allows Samus swing across large chasms XRay Scope reveals secret passages,4.3,4
A side scrolling 2D platformer first entry Super Mario franchise Super Mario Bros follows Italian plumber Mario treks across many levels platforming challenges featuring hostile enemies rescue Princess Peach evil king Bowser,3.5,3
The Legend Zelda Majoras Mask direct sequel Ocarina Time utilizes engine visual style predecessor The game retains traditional elements Zelda games well introduced Ocarina Time active blocking shield various throwing items usage melodies played ocarina solve puzzles Compared previous Zelda games installment oriented towards interaction NPCs larger variety items optional quests minigames It also includes time system spans three days cycle must reset periodically progress game,4.4,6
Star Wars Jedi Fallen Order narratively driven singleplayer game puts role Jedi Padawan narrowly escaped purge Order 66 following events Episode III Revenge Sith On quest rebuild Jedi Order must pick pieces shattered past complete training develop new powerful Force abilities master art iconic lightsaber staying one step ahead Empire deadly Inquisitors,3.7,1
A third person shooterstealthsurvival hybrid twenty years outbreak parasitic fungus takes neural functions humans Joel Texan tragic familial past finds responsible smuggling fourteen year old girl named Ellie militia group called Fireflies avoiding strict deadly authorities infected fungal hosts violent survivors,4.2,0
Dig Fight Explore Build The world fingertips fight survival fortune glory Will delve deep cavernous expanses search treasure raw materials craft everevolving gear machinery aesthetics Perhaps choose instead seek evergreater foes test mettle combat Maybe decide construct city house host mysterious allies may encounter along travels In World Terraria choice,4.0,1
Resident Evil 7 Biohazard first game Resident Evil series switch 3rdperson fully 1stperson perspective A complete refresh gameplay systems simultaneously propels survival horror experience another level It much horror survival boosting scare elements minimizing downright shooting action The game allows use Sonys PSVR Headset play VR mode,3.9,5
Metal Gear Solid V The Phantom Pain final game Metal Gear series It sequel Metal Gear Solid V Ground Zeroes released year prequel original Metal Gear The game complex story long cutscene sequences fewer shorter compared earlier Metal Gear Solid titles Most gameplay mechanics introduced Ground Zeroes carried still action game stealth oriented replaces linear corridor design earlier titles large open world environments offer player unrestricted freedom approach The world realtime day night cycle various weather effects influence enemy behaviour visibility sound Sabotaging destroying certain structures also influence parts map,3.8,9
Join fight future world Overwatch choose hero diverse cast soldiers scientists adventurers oddities Bend time defy physics unleash dizzying array extraordinary powers weapons Engage enemies iconic locations around globe ultimate teambased shooter,3.2,0
1998 HALFLIFE sends shock game industry combination pounding action continuous immersive storytelling NOW By taking suspense challenge visceral charge original adding startling new realism responsiveness HalfLife 2 opens door world players presence affects everything around physical environment behaviors even emotions friends enemies,4.2,2
Here order maintained Church Seiros hosts prestigious Officers Academy within headquarters You invited teach one three mighty houses comprised students brimming personality represented royal one three territories As professor must lead students academic lives turnbased tactical RPG battles wrought strategic new twists overcome Which house path choose,4.0,1
Returning mothers murder semifictional city Los Santos based Los Angeles Carl Johnson former gang banger must take back streets family friends gaining respect gaining control streets However story filled crime lies corruption lead trudge entire state San Andreas based California Nevada rebuild life,4.1,1
Uncover truth delve 2D sidescrolling adventure featuring gorgeous art environments Then battle kaiju fastpaced topdown combat Customize Sentinels arsenal mechsuit weaponry fight defend humanity,4.4,8
Shin Megami Tensei Persona 3 FES addon disc Persona 3 containing updates original game referred game The Journey well new epilogue story The Answer player controls Aigis The subtitle Fes derived word festival,4.1,5
Originally intended fourth installment Resident Evil series Devil May Cry actionadventure game introduced host new elements gaming community Chief among Stylish Rank grades players performance combat The game split Missions individually scored according various factors Orbs gathered damage taken Additionally Devil May Cry away prerendered backgrounds prior Resident Evil games order allow dynamic camera system,3.5,5
Hit road definitive version Mario Kart 8 play anytime anywhere Race friends battle revised battle mode new returning battle courses Play locally 4player multiplayer 18p playing TV Mode Every track Wii U version including DLC makes glorious return Plus Inklings appear allnew guest characters along returning favorites King Boo Dry Bones Bowser Jr,4.0,3
Become Divine Dragon save continent Elyos Summon valiant heroes like Marth Celica alongside new cast characters engage turnbased tactical combat great evil new Fire Emblem story,3.9,0
The Pokmon Scarlet Pokmon Violet games newest chapters Pokmon series coming Nintendo Switch later year With new titles Pokmon series takes new evolutionary step allowing explore freely richly expressed open world Various towns blend seamlessly wilderness borders Youll able see Pokmon region skies seas forests streetsall Youll able experience true joy Pokmon seriesbattling wild Pokmon order catch themnow openworld game players age enjoy,3.5,7
A topdown slashershooter unlockable gameplayaltering masks weapons featuring neonflavoured electronic aesthetic hitman receives anonymous calls ordering travel certain residences crime dens massacre within stumbles unreal visions inconsistencies without answers,4.0,4
Pizza Tower 2D platformer mainly inspired Wario Land Earthworm Jim The game overthetop handdrawn animations music You play Peppino Spaghetti manic pizza man many abilities like charging super jumping dashing Peppino go floor tower finding keys saving toppins folks getting many points possible,4.5,1
Psychonauts 2 mindbending trip strange worlds hiding inside brains Freshlyminted special agent acrobat extraordinaire Razputin Raz Aquato returns unpack emotional baggage expand mental horizons Along way hell help new friends like magical mote light voiced sung Jack Black Raz must use powers unravel dark mysteries Psychonauts team family origins,4.2,0
Get behind visor intergalactic bounty hunter Samus Aran criticallyacclaimed firstperson adventure Step boots Samus Aran navigate winding paths interconnected environments alluringyetdangerous alien planet Use powers like iconic Morph Ball Grapple Beam revisit hardtoreach areas find path forward With revamped graphics sound unlockable art updated control schemes Samus 3D platforming debut reached greater heights Calm capable Samus takes solo missionbut far alone,4.5,4
The Master Chief returns Halo Infinite next chapter legendary franchise When hope lost humanitys fate hangs balance Master Chief ready confront ruthless foe hes ever faced Step inside armor humanitys greatest hero experience epic adventure explore massive scale Halo ring,3.3,0
Using great variety gadgets must make way around island asylums halls find stop joker The game uses 3button combat system great number gadget abilites Batman unlock This makes cinematic combat experience fighting Jokers goons,3.9,8
Super Mario Sunshine Mario actionadventure 3D platformer It follows Super Mario 64 second 3D Mario platformer Gameplay features combination action puzzle solving numerous stages multiple episodes stage plenty hidden secrets surprises This game introduced many recurring characters bosses Mario series including Toadsworth Bowser Jr Petey Piranha Gooper Blooper Piantas Nokis Shadow Mario FLUDD Super Mario Sunshine pays homage Marios Italian heritage upbringing many locations game Italian names sometimes referencing Italian culture,3.7,3
A turnbased JRPG sequel EarthBound 1994 tragedy surrounding family primitive yet joyful village Tazmily incites comingofage story Lucas familys younger son goes perilous adventures along friends order find missing brother stop group masked men bringing end world,4.5,4
MultiVersus platform fighter lets team friends using worlds iconic characters including Batman Shaggy Superman Bugs Bunny Use unique coop abilities find favorite fighter combos save Multiverse,2.8,0
Discover origins Shulk companions clash seeminglyunstoppable mechanical menace Wield futureseeing blade chain together attacks carefully position party members strategic realtime combat journey across massive world,4.3,8
Dr Gordon Freeman doesnt speak hes got helluva story tell This firstperson rollercoaster initiated new era history action games combining engrossing gameplay upgraded graphics ingenious level design revolutionary story may seems told cutscenes visual environment,4.0,4
Fire wild ride across cosmos fresh take Marvels Guardians Galaxy In actionadventure game StarLord leading unpredictable Guardians one explosion chaos next You got Probably,3.8,0
In Danganronpa youll dive series class trials expose lies contradictions classmates order find whos behind grisly murder In trial youll use evidence testimony collected investigation literally shoot opponents assertions By combining logic motion Danganronpa offers exciting unprecedented gaming experience,3.5,1
Cult Lamb casts players role possessed lamb saved annihilation ominous stranger must repay debt building loyal following name Start cult land false prophets venturing diverse mysterious regions build loyal community woodland worshippers spread Word become one true cult,3.6,0
Experience ultimate celebration past future Sonic Mania Relive Sonic past exciting new twist classic zones fighting new bosses Dr Eggmans evil robot army Go head tohead players Competition Mode play CoOp Mode friend,4.0,4
Welcome vibrant world rich beauty nature inhabited aweinspiring highly advanced machines As young machine hunter named Aloy must unravel mysteries world find destiny,3.6,4
Left 4 Dead 2 cooperative firstperson shooter video game sequel Valve Corporations Left 4 Dead The Game builds upon cooperatively focused gameplay Valves proprietary Source engine game engine used original Left 4 Dead Set aftermath apocalyptic pandemic Left 4 Dead 2 focuses four new Survivors fighting hordes Infected develop severe psychosis exhibit zombielike tendencies The Survivors must fight way five campaigns interspersed safe houses act checkpoints goal escape campaigns finale,3.9,5
League Legends fastpaced competitive online game blends speed intensity RTS RPG elements Two teams powerful champions unique design playstyle battle headtohead across multiple battlefields game modes With everexpanding roster champions frequent updates thriving tournament scene League Legends offers endless replayability players every skill level,2.1,0
Control supernatural 3rd person actionadventure challenge master combination supernatural abilities modifiable loadouts reactive environments fighting deep unpredictable world,3.6,8
The Literature Club full cute girls Will write way heart This game suitable children easily disturbed,3.3,1
After events Batman Arkham Asylum 29 section city Gotham turned prison designed keep scum city away people Bruce Wayne protests prison shortly kidnapped despicable Hugo Strange thus face citys powerful villains Batman trying uncover Stranges plans,4.1,1
Yakuza Kiwami remake 25 open world actionadventure game Yakuza,3.7,1
Meet Phoenix Wright rookie defense lawyer new scene wildest crossexamination skills town Take five intriguing cases reveal dramatic stunning even comical court proceedings Use touch screen investigate crime scenes question witnesses present shocking evidence ObjectionIts outrageous fun You wont able put laughoutloud riveting adventure,4.1,2
Choose selection 9 classes entertaining personalities different set gameplay mechanics capture defend objective within numerous game modes enemy team variety unlockable tradable weapons cosmetics add layer customization players experience,3.9,2
The next adventure Nintendo Switch console set backs colossal living Titans Discover Titans diverse regions culture wildlife equipment hidden secrets Find bond command weaponized life forms known Blades earn abilities enhance Uncover history Alrest mystery endless ocean clouds,3.9,8
Enter Splatlands sunscorched desert inhabited battlehardened Inklings Octolings Splatsville city chaos adrenalinefueled heart dusty wasteland Even desolate environment Turf War reigns supreme battles rage new stages located surrounding wilds Dynamic new moves help fighters dodge attacks cover ground along new bowshaped weapon sling ink,4.1,1
Chrome Dino game easter egg Googles Chrome web browser It played touching dinosaur pressing space bar internet connection goes accessing chromedino web browser The game endless runner The objective jump cacti avoid pterodactyls flying direction,3.5,1
Katana Zero fast paced neonoir action platformer focusing tight instantdeath acrobatic combat dark 8s neon aesthetic Aided trusty katana time manipulation drug Chronos rest assassins arsenal fight way fractured city take back whats rightfully,4.1,1
Life Strange five part episodic game sets revolutionize story based choice consequence games allowing player rewind time affect past present future,3.4,2
Dark Souls II Scholar First Sin upgrade bundle Dark Souls II brings game Playstation 4 Xbox One well DX11 features PC It also bundles previous DLCs provides additional features content,3.5,5
Deathloop transports players lawless island Blackreef eternal struggle two extraordinary assassins Explore stunning environments meticulously designed levels immersive gameplay experience lets approach every situation way like Hunt targets island effort put end cycle remember first dont succeed die die,3.5,1
An openworld actionadventure game young wanderer along stolen magical sword steed companion trespasses cursed land makes deal ancient bring sacrificial victim back life sets fulfill end bargain involves tracking infiltrating abodes sixteen colossi sacrificing achieve goal,4.4,1
Teenage Mutant Ninja Turtles Shredders Revenge reunites Leonardo Raphael Michelangelo Donatello kick shell beautifully realized pixel art world invoking turtles classic 1987 design,3.8,0
A third person action game featuring intense handtohand combat puts control young KungFu student path revenge throughout city,3.8,1
